City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,kangaatsiaq,GL,2022-05-25 17:44:42,68.3065,-53.4641,273.42,66,100,2.75
175,katherine,AU,2022-05-25 17:41:28,-14.4667,132.2667,291.33,59,55,3.09
176,muyezerskiy,RU,2022-05-25 17:44:43,63.9333,31.65,281.98,63,100,1.94
177,thompson,CA,2022-05-25 17:44:43,55.7435,-97.8558,283.24,43,100,3.09
178,guanica,PR,2022-05-25 17:44:44,17.9716,-66.908,303.99,68,13,5.99
179,jasper,US,2022-05-25 17:44:45,37.2001,-94.3502,291.86,96,100,5.14
180,bagdarin,RU,2022-05-25 17:44:45,54.4333,113.6,281.92,53,26,1.45
181,manaus,BR,2022-05-25 17:44:47,-3.1019,-60.025,306.43,66,20,4.63
182,ancud,CL,2022-05-25 17:44:47,-41.8697,-73.8203,280.92,58,0,1.88
183,xinzhi,CN,2022-05-25 17:44:48,36.4989,111.7047,291.06,35,45,0.94
184,quelimane,MZ,2022-05-25 17:45:49,-17.8786,36.8883,297.12,69,0,1.54
185,dorado,PR,2022-05-25 17:45:50,18.4588,-66.2677,305.69,80,43,6.42
186,sola,VU,2022-05-25 17:44:58,-13.8833,167.55,299.97,70,17,4.91
187,verin,ES,2022-05-25 17:45:51,41.9415,-7.4381,294.02,42,25,3.58
188,la rioja,ES,2022-05-25 17:45:52,42.25,-2.5,285.03,76,100,4.63
189,shellbrook,CA,2022-05-25 17:45:52,53.2168,-106.4011,292.72,46,97,3.05
190,jeremie,HT,2022-05-25 17:45:54,18.65,-74.1167,301.98,66,21,3.23
191,grindavik,IS,2022-05-25 17:45:55,63.8424,-22.4338,282.12,81,75,1.54
192,laguna de perlas,NI,2022-05-25 17:45:55,12.3429,-83.6712,301.2,68,91,3.13
193,isangel,VU,2022-05-25 17:45:56,-19.55,169.2667,296.9,82,28,2.06
194,san cristobal,VE,2022-05-25 17:45:57,7.7669,-72.225,300.25,64,100,3.08
195,leningradskiy,RU,2022-05-25 17:45:57,69.3833,178.4167,278.8,75,74,2.75
